method,beta_name,beta_mean,beta_std,beta_avg_abs_change,beta_autocorr_lag1
single_static_ols_best_proxy,proxy_diesel_us_gulf,0.9363220404588889,0.03868314791155203,5.096687925913758e-05,0.9987431385951214
multi_proxy_ridge,proxy_diesel_us_gulf,0.6618000271762474,0.07388716040970314,9.050576885020184e-05,0.9992175901908058
multi_proxy_ridge,proxy_heating_oil_nyh,0.15952525567222464,0.0429309332525646,5.275165641851984e-05,0.9990910913179587
multi_proxy_ridge,proxy_brent_spot,0.10881399712786483,0.014365362846438169,1.5103945002048731e-05,0.9990599279922197
multi_proxy_ridge,proxy_wti_spot,0.013521661167785344,0.002206086675318319,2.771577192084339e-06,0.998793383529121
multi_proxy_ridge,proxy_gasoline_nyh,0.052558724611157716,0.030841884789657548,3.6582309043461e-05,0.9992105485070565
multi_proxy_kalman,proxy_diesel_us_gulf,0.7700034188537664,0.08994037492546868,0.002969689033797535,0.99340731122248
multi_proxy_kalman,proxy_heating_oil_nyh,0.14117837575377315,0.0657019575506414,0.0023644929187143526,0.9938367973020703
multi_proxy_kalman,proxy_brent_spot,0.09549483680777308,0.05808358226790023,0.0024473387866418865,0.9933129309070796
multi_proxy_kalman,proxy_wti_spot,-0.002550247715871378,0.07521699615827727,0.0025514019833523536,0.9941681388453302
multi_proxy_kalman,proxy_gasoline_nyh,0.0014896074659656077,0.06485434545031593,0.002471429256482086,0.9935190747432447
cheap_benchmark_direct,jet_fuel_benchmark,1.0,0.0,0.0,
