method,unhedged_mean,hedged_gross_mean,hedged_net_mean,unhedged_vol_annualized,hedged_gross_vol_annualized,hedged_net_vol_annualized,variance_reduction,hedge_effectiveness,tracking_error,unhedged_var_loss,hedged_net_var_loss,unhedged_cvar_loss,hedged_net_cvar_loss,hedged_net_sharpe_annualized_no_rf,unhedged_max_drawdown,hedged_net_max_drawdown,total_turnover,average_turnover,total_transaction_cost,average_transaction_cost
cheap_benchmark_direct,0.000513106001544299,7.096605442068687e-05,7.060634219047104e-05,0.4984865527370135,0.21428975387993077,0.21429023653893883,0.8152017415609483,0.8152017415609483,0.0294840717578795,0.04368806370088917,0.010426300183669523,0.07207578569179644,0.031307629094953306,0.08303130613589836,-0.8281730275496865,-0.25175657327485723,3.0,0.0014388489208633094,0.00075,3.5971223021582736e-07
multi_proxy_kalman,0.000513106001544299,0.00012339740722571086,7.116586626922432e-05,0.4984865527370135,0.3024602625343493,0.30247067111453774,0.6318204645152299,0.6318204645152299,0.02528882973911177,0.04368806370088917,0.022438851530187525,0.07207578569179644,0.04587646266311171,0.05929103219747699,-0.8281730275496865,-0.4023900680010888,30.263814471372726,0.014515018931114017,0.10890276289427456,5.22315409564866e-05
multi_proxy_ridge,0.000513106001544299,0.0001619710563892361,0.00016161209689812158,0.4984865527370135,0.29698393735768264,0.29698433798920887,0.6450557061077627,0.6450557061077627,0.024295962133401256,0.04368806370088917,0.023302294232496096,0.07207578569179644,0.04564768608197505,0.13713264710884,-0.8281730275496865,-0.3664527254650146,2.9921526948691057,0.0014350852253568853,0.0007484305389738211,3.589594911145425e-07
single_static_ols_best_proxy,0.000513106001544299,0.00017596913093055554,0.00017562717233614034,0.4984865527370135,0.302889879730617,0.3028905115600778,0.6307976616186781,0.6307976616186781,0.024192809216264204,0.04368806370088917,0.023012406733522325,0.07207578569179644,0.04665887321257435,0.14611896292409565,-0.8281730275496865,-0.41921007272917177,2.814918346777875,0.0013500807418598921,0.000712983669355575,3.419585944151439e-07
