date,unhedged_pnl,hedged_pnl_gross,hedged_pnl_net,transaction_cost,turnover
2018-01-02,0.0018827794050688684,0.002334182396824269,0.002106690740466035,0.0002274916563582341,0.8874582817911704
2018-01-03,0.023512129264614545,0.021253965697715923,0.021253965697715923,0.0,0.0
2018-01-04,-0.0069531801570230645,-0.00019588359516138978,-0.00019588359516138978,0.0,0.0
2018-01-05,0.00561286759878965,-0.0007423323731163807,-0.0007423323731163807,0.0,0.0
2018-01-08,-0.009667639554810759,-0.00425905683185792,-0.00425905683185792,0.0,0.0
2018-01-09,0.014878218751071426,0.006262118927856183,0.006262118927856183,0.0,0.0
2018-01-10,0.011375881614901218,0.007333814541965625,0.007333814541965625,0.0,0.0
2018-01-11,-0.0016956689383071932,-0.04103890762728596,-0.04103890762728596,0.0,0.0
2018-01-12,-0.007672025246741154,0.030429174502132006,0.030429174502132006,0.0,0.0
2018-01-15,0.0,0.0,0.0,0.0,0.0
2018-01-16,-0.00872246512996211,0.0011183021076416107,0.0011183021076416107,0.0,0.0
2018-01-17,-0.0067722597813009155,-0.010843169330801771,-0.010843169330801771,0.0,0.0
2018-01-18,0.003633359316252971,-0.0004189616051678488,-0.0004189616051678488,0.0,0.0
2018-01-19,-0.002698641246376199,0.0179190764113985,0.0179190764113985,0.0,0.0
2018-01-22,0.011631909296616172,-0.016359277461016435,-0.016359277461016435,0.0,0.0
2018-01-23,0.02658953068269887,0.00968556341048616,0.00968556341048616,0.0,0.0
2018-01-24,0.0021382008974324407,-0.006155801736129998,-0.006155801736129998,0.0,0.0
2018-01-25,0.003451234896188371,0.0051811730673213055,0.0051811730673213055,0.0,0.0
2018-01-26,0.013819366217618034,-4.7169435369002685e-05,-4.7169435369002685e-05,0.0,0.0
2018-01-29,-0.01799164550796184,-0.0039117785372365915,-0.0039117785372365915,0.0,0.0
2018-01-30,-0.016065404216088375,-0.00045793076983428015,-0.00045793076983428015,0.0,0.0
2018-01-31,0.005099710497062038,0.00289320059703428,0.00289320059703428,0.0,0.0
2018-02-01,0.009445948650635305,-0.002879860818686462,-0.002879860818686462,0.0,0.0
2018-02-02,-0.024020937134126896,-0.0014437205719248607,-0.0014437205719248607,0.0,0.0
2018-02-05,-0.014090743327649258,-0.0007254077585051571,-0.0007254077585051571,0.0,0.0
2018-02-06,-0.01088402411820888,-0.0009329118860958302,-0.0009329118860958302,0.0,0.0
2018-02-07,-0.024657668024060553,0.0018745898851600072,0.0018745898851600072,0.0,0.0
2018-02-08,-0.007983564833922041,-0.0004387547868133501,-0.0004387547868133501,0.0,0.0
2018-02-09,-0.037333887398170784,-0.01307859673828344,-0.01307859673828344,0.0,0.0
2018-02-12,-0.02096516242676616,-0.014119754192564303,-0.014119754192564303,0.0,0.0
2018-02-13,0.004987416138674483,0.006958450634601567,0.006958450634601567,0.0,0.0
2018-02-14,0.027735252979322222,0.003042479418076491,0.003042479418076491,0.0,0.0
2018-02-15,0.001945883086276634,-0.0004565486456972719,-0.0004565486456972719,0.0,0.0
2018-02-16,0.012813395808092043,0.005146369615511692,0.005146369615511692,0.0,0.0
2018-02-19,-0.0006171095374708502,-0.0006171095374708502,-0.0006171095374708502,0.0,0.0
